team,bat,field,total_toss_win,toss_win_match_win,batper,fieldper,twbmw,twfmw,%twbmw,%twfmw,total_matches_played,matches_won,match_won_percentage,matches_won_after_batting_first,matches_won_after_fielding_first
Chennai Super Kings,48,41,89,57,0.5393,0.4607,30,27,0.625,0.6585,164,100,0.6098,52,48
Deccan Chargers,24,19,43,19,0.5581,0.4419,11,8,0.4583,0.4211,75,29,0.3867,18,11
Delhi Capitals,2,8,10,7,0.2,0.8,1,6,0.5,0.75,16,10,0.625,3,6
Delhi Daredevils,29,51,80,35,0.3625,0.6375,11,24,0.3793,0.4706,161,67,0.4161,25,42
Gujarat Lions,1,14,15,10,0.0667,0.9333,0,10,0,0.7143,30,13,0.4333,1,12
Kings XI Punjab,26,55,81,35,0.321,0.679,6,29,0.2308,0.5273,176,82,0.4659,38,42
Kochi Tuskers Kerala,3,5,8,4,0.375,0.625,0,4,0,0.8,14,6,0.4286,2,4
Kolkata Knight Riders,30,62,92,53,0.3261,0.6739,15,38,0.5,0.6129,178,92,0.5169,36,56
Mumbai Indians,44,54,98,56,0.449,0.551,25,31,0.5682,0.5741,187,109,0.5829,57,50
Pune Warriors,11,9,20,3,0.55,0.45,3,0,0.2727,0,46,12,0.2609,6,6
Rajasthan Royals,32,48,80,42,0.4,0.6,15,27,0.4688,0.5625,147,75,0.5102,27,46
Rising Pune Supergiants,3,10,13,8,0.2308,0.7692,0,8,0,0.8,29,15,0.5172,7,8
Royal Challengers Bangalore,20,61,81,41,0.2469,0.7531,9,32,0.45,0.5246,180,84,0.4667,35,48
Sunrisers Hyderabad,20,26,46,23,0.4348,0.5652,8,15,0.4,0.5769,109,58,0.5321,30,27
